spp;log_body_mass;forearm_size;trophic_level;Dietary_specialization;forest_stratification
Ametrida_centurio;10,000;28,500;phytophagous;frugivore;canopy
Artibeus_concolor;19,500;47,500;phytophagous;frugivore;canopy
Artibeus_lituratus;73,500;71,500;phytophagous;frugivore;canopy
Artibeus_obscurus;40,000;60,000;phytophagous;frugivore;Understorey
Artibeus_planirostris;54,500;64,500;phytophagous;frugivore;Understorey
Carollia_brevicauda;17,000;34,500;phytophagous;frugivore;Understorey
Carollia_perspicillata;16,500;41,000;phytophagous;frugivore;Understorey
Cormura_brevirostris;8,900;45,500;animalivorous;aerial_insectivore;canopy
Centronycteris_maximiliani;5,750;43,000;animalivorous;aerial_insectivore;canopy
Chiroderma_trinitatum;14,000;40,500;phytophagous;frugivore;canopy
Cynomops_sp.;20,020;36,010;animalivorous;aerial_insectivore;canopy
Dermanura_cinerea;17,000;40,000;phytophagous;frugivore;canopy
Dermanura_gnoma;11,000;36,000;phytophagous;frugivore;canopy
Desmodus_rotundus;32,500;57,500;animalivorous;sanguinivore;Understorey
Diclidurus_sp.;14,100;58,750;animalivorous;aerial_insectivore;canopy
Eptesicus_sp.;9,587;41,450;animalivorous;aerial_insectivore;canopy
Gardnerycteris_crenulatum;13,900;50,500;animalivorous;insectivore;Understorey
Glossophaga_soricina;15,500;35,800;phytophagous;nectarivore;Understorey
Lophostoma_brasiliense;10,000;29,000;animalivorous;insectivore;Understorey
Lophostoma_silvicolum;32,000;54,500;animalivorous;insectivore;Understorey
Micronycteris_macrotis;6,400;52,000;animalivorous;insectivore;Understorey
Micronycteris_microtis;7,150;34,550;animalivorous;insectivore;Understorey
Micronycteris_minuta;7,500;34,050;animalivorous;insectivore;Understorey
Micronycteris_schmidtorum;6,250;35,400;animalivorous;insectivore;Understorey
Molossops_sp.;7,000;32,875;animalivorous;aerial_insectivore;canopy
Molossus_molossus;14,000;40,000;animalivorous;aerial_insectivore;canopy
Molossus_sp.;15,200;41,040;animalivorous;aerial_insectivore;canopy
Myotis_riparius;5,500;34,500;animalivorous;aerial_insectivore;Understorey
Myotis_sp.;5,340;35,840;animalivorous;aerial_insectivore;Understorey
Peropteryx_leucoptera;6,250;43,500;animalivorous;aerial_insectivore;Understorey
Peropteryx_pallidoptera;5,000;40,000;animalivorous;aerial_insectivore;Understorey
Peropteryx_sp.;5,750;43,400;animalivorous;aerial_insectivore;understorey
Phyllostomus_elongatus;43,500;66,000;phytophagous;insectivore;Understorey
Phyllostomus_hastatus;88,000;85,000;phytophagous;omnivore;canopy
Platyrrhinus_fusciventris;15,000;37,500;phytophagous;frugivore;canopy
Platyrrhinus_incarum;15,000;37,500;phytophagous;frugivore;canopy
Platyrrhinus_sp.;13,000;38,000;phytophagous;frugivore;canopy
Promops_sp.;18,800;51,375;animalivorous;aerial_insectivore;canopy
Rhinophylla_pumilio;10,250;34,500;phytophagous;frugivore;Understorey
Rhynchonycteris_naso;4,750;38,000;animalivorous;aerial_insectivore;Understorey
Saccopteryx_bilineata;9,500;48,000;animalivorous;aerial_insectivore;canopy
Saccopteryx_leptura;4,500;39,000;animalivorous;aerial_insectivore;canopy
Sturnira_lilium;20,000;40,800;phytophagous;frugivore;Understorey
Tonatia_maresi;27,200;55,400;animalivorous;insectivore;Understorey
Trinycteris_nicefori;9,000;38,000;animalivorous;insectivore;Understorey
Uroderma_bilobatum;18,250;42,000;phytophagous;frugivore;canopy
Uroderma_magnirostrum;17,250;42,000;phytophagous;frugivore;canopy
Vampyriscus_brocki;9,500;32,000;phytophagous;frugivore;canopy
